date,series,value
01/01/2014,All New Work,2.4
01/02/2014,All New Work,0.2
01/03/2014,All New Work,-0.8
01/04/2014,All New Work,-2.1
01/05/2014,All New Work,-1.5
01/06/2014,All New Work,-0.7
01/07/2014,All New Work,0.1
01/08/2014,All New Work,-0.5
01/09/2014,All New Work,-0.2
01/10/2014,All New Work,0.5
01/11/2014,All New Work,0.3
01/12/2014,All New Work,0
01/01/2015,All New Work,-1.8
01/02/2015,All New Work,0
01/03/2015,All New Work,1.9
01/04/2015,All New Work,1.1
01/05/2015,All New Work,1.2
01/06/2015,All New Work,0.9
01/07/2015,All New Work,1.1
01/08/2015,All New Work,1.2
01/09/2015,All New Work,0.7
01/10/2015,All New Work,1.2
01/11/2015,All New Work,1.6
01/12/2015,All New Work,1.2
01/01/2016,All New Work,2.7
01/02/2016,All New Work,2.2
01/03/2016,All New Work,1.3
01/04/2016,All New Work,2.7
01/05/2016,All New Work,2.5
01/06/2016,All New Work,2.3
01/07/2016,All New Work,2.1
01/08/2016,All New Work,2.8
01/09/2016,All New Work,3.1
01/10/2016,All New Work,3.1
01/11/2016,All New Work,3.2
01/12/2016,All New Work,3.6
01/01/2017,All New Work,2.7
01/02/2017,All New Work,2.6
01/03/2017,All New Work,2.2
01/04/2017,All New Work,1.8
01/05/2017,All New Work,2.5
01/06/2017,All New Work,2.7
01/07/2017,All New Work,3
01/08/2017,All New Work,3.2
01/09/2017,All New Work,3.5
01/10/2017,All New Work,2.9
01/11/2017,All New Work,2.6
01/12/2017,All New Work,3.4
01/01/2018,All New Work,3.4
01/02/2018,All New Work,3.1
01/03/2018,All New Work,4
01/04/2018,All New Work,4.4
01/05/2018,All New Work,4.2
01/06/2018,All New Work,4.1
01/07/2018,All New Work,3.4
01/08/2018,All New Work,3.1
01/09/2018,All New Work,2.6
01/10/2018,All New Work,2.8
01/11/2018,All New Work,3.7
01/12/2018,All New Work,3.3
01/01/2019,All New Work,3
01/02/2019,All New Work,3.7
01/03/2019,All New Work,3.1
01/04/2019,All New Work,3.6
01/05/2019,All New Work,3.9
01/06/2019,All New Work,4.1
01/07/2019,All New Work,4.5
01/08/2019,All New Work,4.4
01/09/2019,All New Work,4
01/10/2019,All New Work,3.5
01/11/2019,All New Work,2.4
01/12/2019,All New Work,1.9
01/01/2020,All New Work,2.1
01/02/2020,All New Work,1.5
01/03/2020,All New Work,1.3
