Time period,Housing (public and private)  index 2015=100,Housing (public and private) percentage change over 1 month,Housing (public and private) percentage change over 12 months,Infrastructure  index 2015=100,Infrastructure percentage change over 1 month,Infrastructure percentage change over 12 months,Public (other than housing)  index 2015=100,Public (other than housing) percentage change over 1 month,Public (other than housing) percentage change over 12 months,Private industrial index  2015=100,Private industrial percentage change over 1 month,Private industrial percentage change over 12 months,Private commercial index  2015=100,Private commercial percentage change over 1 month,Private commercial percentage change over 12 months,All new work index 2015=100,All new work percentage change over 1 month,All new work percentage change over 12 months
2014 Jan,100.6,1.6,1.4,100.3,2.1,3.7,100.5,1.7,2.6,101.0,1.6,2.3,100.5,1.7,2.6,100.5,1.7,2.4
Feb,99.9,-0.7,-0.5,99.3,-1.0,1.5,99.2,-1.3,0.1,99.3,-1.6,-0.6,99.2,-1.3,0.1,99.4,-1.1,0.2
Mar,99.4,-0.5,-1.3,98.8,-0.5,0.7,98.6,-0.6,-1.0,98.9,-0.5,-1.6,98.6,-0.6,-1.0,98.9,-0.5,-0.8
Apr,98.8,-0.6,-2.3,98.5,-0.3,-0.4,98.3,-0.3,-2.7,98.4,-0.5,-2.9,98.3,-0.3,-2.7,98.5,-0.4,-2.1
May,98.5,-0.4,-1.4,98.4,-0.1,0.1,98.3,0.0,-2.1,98.5,0.1,-2.0,98.3,0.0,-2.1,98.4,-0.1,-1.5
Jun,99.1,0.7,-0.7,99.5,1.1,0.5,98.9,0.7,-1.2,99.0,0.5,-1.2,98.9,0.7,-1.2,99.1,0.7,-0.7
Jul,99.4,0.3,0.0,99.8,0.4,1.1,99.4,0.4,-0.3,99.6,0.6,-0.3,99.4,0.4,-0.3,99.5,0.4,0.1
Aug,98.8,-0.7,-0.6,99.1,-0.8,0.8,98.5,-0.8,-1.0,98.8,-0.8,-0.8,98.5,-0.8,-1.0,98.7,-0.8,-0.5
Sep,99.1,0.4,-0.5,99.7,0.6,0.8,99.1,0.5,-0.4,99.5,0.7,-0.4,99.1,0.5,-0.4,99.2,0.5,-0.2
Oct,99.0,-0.1,-0.1,99.7,0.1,1.6,99.1,0.0,0.4,99.5,0.0,0.4,99.1,0.0,0.4,99.2,0.0,0.5
Nov,99.3,0.2,-0.1,99.6,-0.1,1.1,99.2,0.1,0.1,100.0,0.5,0.3,99.2,0.1,0.1,99.3,0.1,0.3
Dec,99.0,-0.2,0.0,98.5,-1.1,0.3,98.8,-0.4,-0.1,99.7,-0.4,0.3,98.8,-0.4,-0.1,98.9,-0.5,0.0
2015 Jan,99.0,0.0,-1.6,98.6,0.0,-1.7,98.5,-0.3,-2.0,99.3,-0.4,-1.7,98.5,-0.3,-2.0,98.7,-0.1,-1.8
Feb,99.6,0.6,-0.3,99.4,0.9,0.2,99.3,0.8,0.1,99.7,0.4,0.4,99.3,0.8,0.1,99.5,0.8,0.0
Mar,101.0,1.4,1.6,100.6,1.2,1.9,100.7,1.4,2.1,101.0,1.3,2.2,100.7,1.4,2.1,100.8,1.4,1.9
Apr,100.0,-1.0,1.2,99.4,-1.2,1.0,99.3,-1.4,1.1,99.5,-1.5,1.2,99.3,-1.4,1.1,99.6,-1.2,1.1
May,99.9,-0.1,1.5,99.6,0.1,1.2,99.4,0.1,1.2,99.2,-0.3,0.7,99.4,0.1,1.2,99.6,0.0,1.2
Jun,100.3,0.4,1.2,100.0,0.4,0.5,100.0,0.5,1.0,99.6,0.4,0.6,100.0,0.5,1.0,100.0,0.4,0.9
Jul,100.4,0.2,1.0,100.7,0.7,0.9,100.8,0.8,1.4,100.6,1.0,1.0,100.8,0.8,1.4,100.6,0.6,1.1
Aug,99.7,-0.8,0.9,100.1,-0.6,1.0,100.0,-0.8,1.5,100.0,-0.6,1.2,100.0,-0.8,1.5,99.9,-0.7,1.2
Sep,99.6,0.0,0.5,100.1,0.0,0.4,100.1,0.1,1.0,100.0,0.0,0.5,100.1,0.1,1.0,99.9,0.0,0.7
Oct,100.1,0.5,1.1,100.5,0.5,0.8,100.6,0.5,1.5,100.3,0.3,0.8,100.6,0.5,1.5,100.4,0.5,1.2
Nov,100.7,0.6,1.5,100.9,0.4,1.3,101.1,0.5,1.9,100.7,0.4,0.7,101.1,0.5,1.9,100.9,0.5,1.6
Dec,99.8,-0.9,0.7,100.1,-0.8,1.6,100.2,-0.9,1.5,99.8,-0.9,0.1,100.2,-0.9,1.5,100.0,-0.9,1.2
2016 Jan,101.4,1.6,2.4,101.1,1.0,2.5,101.7,1.5,3.2,101.3,1.5,2.0,101.7,1.5,3.2,101.4,1.4,2.7
Feb,101.6,0.2,2.0,101.3,0.2,1.8,101.9,0.2,2.6,101.6,0.4,1.9,101.9,0.2,2.6,101.7,0.2,2.2
Mar,102.2,0.6,1.2,101.7,0.4,1.0,102.2,0.3,1.5,102.3,0.7,1.3,102.2,0.3,1.5,102.1,0.4,1.3
Apr,102.5,0.3,2.6,101.7,0.1,2.3,102.3,0.1,3.0,102.3,0.0,2.8,102.3,0.1,3.0,102.3,0.2,2.7
May,102.3,-0.2,2.4,101.6,-0.1,2.0,102.2,-0.1,2.7,102.5,0.1,3.3,102.2,-0.1,2.7,102.1,-0.2,2.5
Jun,102.4,0.1,2.1,102.0,0.4,2.1,102.4,0.2,2.4,103.2,0.7,3.6,102.4,0.2,2.4,102.4,0.2,2.3
Jul,103.2,0.8,2.7,100.6,-1.4,-0.1,103.1,0.8,2.3,104.4,1.2,3.7,103.1,0.8,2.3,102.7,0.3,2.1
Aug,103.2,0.1,3.6,100.5,-0.1,0.4,103.0,-0.1,3.0,104.4,0.0,4.4,103.0,-0.1,3.0,102.7,0.0,2.8
Sep,103.5,0.2,3.9,100.6,0.1,0.5,103.5,0.4,3.4,104.8,0.4,4.8,103.5,0.4,3.4,103.0,0.3,3.1
Oct,104.1,0.6,4.0,101.0,0.4,0.5,103.9,0.4,3.4,105.9,1.0,5.5,103.9,0.4,3.4,103.5,0.5,3.1
Nov,104.8,0.7,4.1,101.6,0.6,0.6,104.6,0.6,3.4,106.3,0.4,5.5,104.6,0.6,3.4,104.1,0.6,3.2
Dec,104.8,0.0,5.1,101.0,-0.6,0.9,103.6,-0.9,3.4,105.7,-0.5,5.9,103.6,-0.9,3.4,103.6,-0.5,3.6
2017 Jan,105.6,0.8,4.2,101.3,0.3,0.2,104.2,0.6,2.5,106.3,0.6,5.0,104.2,0.6,2.5,104.2,0.6,2.7
Feb,105.8,0.2,4.2,101.1,-0.1,-0.1,104.2,0.0,2.3,106.5,0.2,4.8,104.2,0.0,2.3,104.3,0.1,2.6
Mar,106.1,0.3,3.8,100.8,-0.3,-0.8,104.2,0.0,2.0,107.1,0.6,4.7,104.2,0.0,2.0,104.3,0.0,2.2
Apr,106.1,0.0,3.4,100.7,-0.1,-1.0,103.9,-0.3,1.6,106.9,-0.2,4.5,103.9,-0.3,1.6,104.2,-0.2,1.8
May,106.2,0.1,3.8,101.6,0.9,0.0,104.6,0.7,2.4,107.1,0.1,4.5,104.6,0.7,2.4,104.6,0.5,2.5
Jun,106.7,0.5,4.2,101.7,0.1,-0.3,105.1,0.5,2.7,107.4,0.3,4.0,105.1,0.5,2.7,105.1,0.4,2.7
Jul,107.3,0.6,4.1,102.3,0.6,1.7,106.0,0.8,2.8,108.2,0.7,3.6,106.0,0.8,2.8,105.8,0.7,3.0
Aug,107.6,0.3,4.2,102.5,0.2,2.0,105.9,-0.1,2.8,108.1,-0.1,3.5,105.9,-0.1,2.8,105.9,0.1,3.2
